Table 1
Тип наблюдения;ФИО;Категория наблюдения;Дата;Время;Организация;Какие возможные последствия наблюдения или преимущества хорошей практики / вашего предложения?;Какие меры вы предприняли?;Производилась ли остановка работ?;Какие действия вы предприняли для поощрения хорошей практики?;Обсудили ли вы небезопасное действие / небезопасное поведение с наблюдаемым?;Сообщили ли ответственному лицу?;Кому вы сообщили о наблюдении? (Обязательно к заполнению для небезопасного действия/ небезопасного поведения/опасного фактора / опасного случая);Было ли небезопасное условие / поведение исправлено и опасность устранена?;Фото/Документы с места выявления несоответствия или предложения;Опишите ваше наблюдение/предложение;
Предложение (инициатива);Хризантемов Сакур Лавандович;Работы в замкнутом пространстве;7/25/25 5:00;7/25/25 15:03;"ТОО ""Рубиновый Мак""";периодическое проветривание кабинета;открыть окна и дверь;FALSE;предложила другим сотрудникам;TRUE;TRUE;Начальнику отдела;FALSE;;;
Небезопасное условие ;Тюльпанов Астрон Азалиевич;Рабочее место / Эргономика, Взрыво- и пожароопасность, Электрооборудование;7/25/25 5:00;7/25/25 13:30;"ТОО ""Северный Нарцисс""";Выпадение розетки из стены ;поставил  в известность начальника цеха;TRUE;было выключено все электрооборудования работающий из этой розетки;TRUE;TRUE;начальнику цеха;TRUE;;;
Небезопасное условие ;Фиалков Хризантем Тюльпанович;Проскальзывание / Спотыкание / Падение;7/25/25 5:00;7/25/25 14:00;"ТОО ""Имперская Орхидея""";В эл.цехе ЭСР Кульсары при работе прокладование нового водопровода ленточная ограждение из за сильного ветра порвалось.;Предупредил, новая ленточным ограждением оградили.;FALSE;Похвалил;TRUE;TRUE;Мастеру участка;TRUE;;;
Предложение (инициатива);Виолетов Астрон Лавандович;Рабочее место / Эргономика;7/25/25 5:00;7/25/25 14:00;"ТОО ""Весенний Крокус""";недостаточное освещение рабочего места;поставили в известность начальника цеха;FALSE;замена светильников ;TRUE;TRUE;начальнику цеха;TRUE;;;
Небезопасное действие;Ирисов Азалий Виолетович;Целостность объекта / Оборудования;7/25/25 5:00;7/25/25 15:00;"ТОО ""Изумрудный Папоротник""";По периметру в доль ограждения необходимо провести очистку травы.Что в дальнейшем предотвратит в пожароопасный период от возгорания.;Сообщил Начальнику Авп ;FALSE;Не принемал ;TRUE;TRUE;Начальнику Авп ;TRUE;;;
Хорошая практика;Магнолиев Лаврентий Астрович;Поддержание чистоты и порядка, Рабочее место / Эргономика;7/25/25 5:00;7/25/25 15:29;"ТОО ""Белоснежная Азалия""";Недостаточно оборудованных мест для размещения и хранения инструментов;Поставила в известность руководителя;TRUE;Организовано дополнительное мето хранения.;TRUE;TRUE;начальнику цеха ;TRUE;;;
Небезопасное условие ;Маргаритов Магнолий Виолетович;Целостность объекта / Оборудования;7/25/25 5:00;7/25/25 15:35;"ТОО ""Алтын Бәйшешек""";Засор в системе вентиляции;Поставила в известность начальника.;TRUE;Прочищена система вентиляции.;TRUE;TRUE;Начальнику;TRUE;;;
Опасный фактор;Мелиссов Розан Вербенович;Взрыво- и пожароопасность;7/25/25 5:00;7/25/25 15:45;"ТОО ""Көктем Гүлі""";Потенциальная угроза с точки зрения пожарной безопасности;Скосить сухостой;FALSE;Сообщили начальнику;TRUE;TRUE;Начальнику цеха;TRUE;;;
Небезопасное поведение;Флоров Лилий Сакурович;Знаки безопасности / Предупредительные таблички;7/18/25 5:00;7/25/25 15:49;"ТОО ""Жемчужная Фрезия""";"Работники подрядной организаций ТОО КазМунайСервис Турганбеков К., Тагай Н. передвигались по территорий ТОО ""ПКОП"" на велосипеде пр проезжей части дороги, тем самым создав помех для пешехода.";Проведено объяснительно-разъяснительная беседа;FALSE;Проведено объяснительно-разъяснительная беседа;TRUE;TRUE;Руководителю подрядной организаций, Инженеру БиОТ;TRUE;Xerox Scan_25072025103516.pdf,790f585e5184443b83a3d376305144c2;;
Небезопасное условие ;Маргаритов Астрон Лавандович;Санитарно-бытовые помещения;8/7/25 5:00;8/11/25 13:41;"ТОО ""Лазурный Дельфиниум""";ТБО салатын контейнердің қақпақшасы сынған;Дәнекерлеу бригадасына завкі беріп, ТБО салатын контейнердің қақпақшасын ретке келтірілді;FALSE;Санитарлық тұрмыстық талаптарын сақтау;FALSE;TRUE;Цех бастығы;TRUE;;;
Небезопасное действие;Розанов Нарцисс Мелиссович;Трубопроводы / Подземные коммуникации;7/5/25 5:00;7/5/25 14:00;"ТОО ""Розовый Флокс""";Поворот трубы линии отвода жидкости с газосепаратора соединен сварным швом, работы приостановлены до замена на отводной уголок заводского исполнения .;Работы по освоению приостановлены;TRUE;Мастеру КРС;TRUE;TRUE;Начальнику участка организации;TRUE;;;
Небезопасное действие;Лилиев Азалий Розанович;Машины и оборудование;7/5/25 5:00;7/5/25 14:15;"ТОО ""Сафлоровый Рассвет""";КППда турып аныкталды автоколиктин жургизушиси автоколиктин сол жак фары жанбай калган.Жондеп жасап алды;Ескерту жасалды;FALSE;Жаксы тажирбие автоколик жургизушисине фарды жагып журу туралы ескертилди;TRUE;TRUE;Супервайзерге;TRUE;IMG-20250704-WA0000.jpg,bc603f71a5874b63bc571da8beed2322;;
Небезопасное поведение;Фиалков Георгин Фиалкович;Работы на высоте / Строительные леса;7/14/25 5:00;7/24/25 16:20;"ТОО ""Медовая Астра""";"использование лестницы работниками ТОО ""AVC Production"" без систем защиты от падения, находясь выше 1,3 м.";остановил работы, сообщил производителю работ, обеспечили необходимыми СИЗ;TRUE;-;TRUE;TRUE;Култаеву С.;TRUE;;;
Небезопасное действие;Астров Гортензий Вербенович;Вождение;9/16/25 5:00;9/24/25 15:35;"ТОО ""Тайный Бутон""";Автокөлік жылдамдығын асыру;Автокөлікті 40км асырмау керектігін ескерттім ;FALSE;Водительге ескерту айтылды;FALSE;FALSE;Жоқ ;TRUE;;;
Предложение (инициатива);Астров Сакур Лилиевич;Рабочее место / Эргономика;7/25/25 5:00;7/25/25 13:40;"ТОО ""Цветущий Миндаль""";Визуальный аудит «нематериальных факторов риска»;Анонимные интервью + наблюдение за поведением.;FALSE;Оценка психологической и коммуникационной среды: как общаются сотрудники, чувство усталости или отчуждения.;FALSE;FALSE;Нет данных;FALSE;;;
Небезопасное действие;Орхидеев Виолан Фиалкович;Поддержание чистоты и порядка;7/25/25 5:00;7/25/25 14:30;"ТОО ""Полевой Клевер""";В офисе обратила внимание, что технический персонал моет полы без перчаток. Это может быть вредно для здоровья. Я поинтересовалась, почему так, и в ответ услышала, что выданные перчатки неудобные.;напомнила о вреде для здоровья;FALSE;напомнила о вреде для здоровья;TRUE;FALSE;поделилась в отделе;FALSE;;;
Хорошая практика;Виолетов Лилий Орхидеевич;Взрыво- и пожароопасность;7/25/25 5:00;7/25/25 13:30;"ТОО ""Огненная Георгина""";очистка территории от сухостоя;очистка территории от сухостоя;FALSE;предотвращения негативных последствий;TRUE;TRUE;начальника цеха;TRUE;;;
Небезопасное действие;Орхидеев Фиал Вербенович;Вождение;7/25/25 5:00;7/25/25 14:00;"ТОО ""Сияющая Примула""";При передвижении транспортного средства, водитель использовал сотовый телефон;Сделано предупреждение;TRUE;нет;TRUE;TRUE;Инженеру по транспорту;TRUE;;;
Хорошая практика;Камелиев Нарцисс Мелиссович;Вождение, Транспортировка;7/24/25 5:00;7/25/25 20:00;"ТОО ""Гармония Лилий""";Водитель автомобили 787 ACO 12 соблюдал все требования: использовал ремень безопасности, соблюдал скоростной режим. Все требования безопасности и охраны труда при вождении были выполнены ;Принципы безопасного вождения;FALSE;Принципы безопасного вождения;TRUE;TRUE;начальнику цеха;TRUE;;;
Предложение (инициатива);Магнолиев Маргарит Георгинович;Выполнение требований инструкций;7/25/25 5:00;7/25/25 14:45;"ТОО ""Шёлковый Пион""";Не работает система охлаждения ;Поставил в известность начальника цеха;FALSE;Сообщили начальнику;TRUE;TRUE;Начальнику цеха;TRUE;;;
Небезопасное поведение;Гортензиев Мелисс Лавандович;Сварка / Шлифовка / Отжиг;7/26/25 5:00;7/26/25 19:17;"ТОО ""Японская Сакура""";Установка насоса;Нет данных;FALSE;Обявили благодарность;TRUE;TRUE;Старшего механика;FALSE;;;
Хорошая практика;Нарциссов Виолан Ирисович;Охрана окружающей среды;7/25/25 5:00;7/25/25 15:08;"ТОО ""Лунная Орхидея""";Ұңғы саласындағы құрал жабдықтар мен қондырғы тексерілді.;Ұңғыны жөндеу жұмыстары кезінде мұнай,әр түрлі тұншықтыру ерітінділері мен тбо қалдықтарын төгіп ұңғы басын  ластамау керек екені ескертілді.;FALSE;Қоршаған ортаны табиғатымызды қорғап таза ұстау топ мүшелеріне ескертілді;TRUE;TRUE;Начальнику цеха;TRUE;;;
Опасный фактор;Лилиев Розан Тюльпанович;Проскальзывание / Спотыкание / Падение;7/25/25 5:00;7/25/25 15:46;"ТОО ""Садовый Гиацинт""";Поврежденный пол (трещина);Поставила в известность начальника  ;FALSE;Установлено ограждение. Подана заявка на ремонт;TRUE;TRUE;Начальнику ;TRUE;;;
Небезопасное условие ;Маргаритов Лаврентий Маргаритович;Санитарно-бытовые помещения;8/7/25 5:00;8/11/25 14:45;"ТОО ""Белый Лотос KZ""";№2 МСАААЦ зертханада кондиценерде ақау бар;Завкі беріліп, талапқа сай келтірілді;FALSE;Санитарлық тұрмыстық жағдайды қамтамас ету;TRUE;TRUE;Цех бастығы;TRUE;;;
Опасный фактор;Вербенов Лотос Тюльпанович;Знаки безопасности / Предупредительные таблички, Выполнение требований инструкций;7/22/25 5:00;7/25/25 14:21;"ТОО ""Ароматный Мирт""";Жұмыс кезінде еңбек қауіпсіздік нұсқаулығын сақтау;Түсіндірме жұмыс жүргізілді;TRUE;Нет данных;TRUE;TRUE;Тқ шеберіне ескертілді;TRUE;;;
Небезопасное действие;Лилиев Мелисс Нарциссович;Проскальзывание / Спотыкание / Падение, Поддержание чистоты и порядка, Рабочее место / Эргономика;7/17/25 5:00;7/25/25 15:20;"ТОО ""Цветочный Бриз""";Жұмыс алаңын бөгде нәрслерден таза ұстау;Нет данных;FALSE;Нет данных;FALSE;TRUE;Цех бастығына хабарланды;TRUE;;;
Хорошая практика;Нарциссов Мелисс Лилиевич;Санитарно-бытовые помещения;7/25/25 5:00;7/25/25 15:23;"ТОО ""Небесная Камелия""";Неисправный кран с водой;Поставила в известность руководителя;TRUE;Нет данных;TRUE;TRUE;Начальнику цеха МО;TRUE;;;
Опасный фактор;Хризантемов Хризантем Вербенович;Проскальзывание / Спотыкание / Падение;7/25/25 5:00;7/25/25 14:53;"ТОО ""Степной Шалфей""";Поврежденный пол;Поставила в известность начальника цеха;FALSE;Сообщил начальнику;TRUE;TRUE;Начальнику цеха;TRUE;;;
Опасный случай;Азалиев Лилий Магнолиевич;Проскальзывание / Спотыкание / Падение, Монтажные и грузоподъемные работы, Земляные работы;7/15/25 5:00;7/25/25 19:20;"ТОО ""Грация Гортензии""";Жабыдықты көтеру кезінде құлап кету қауіпі;Көтеру лентасы ауыстырылды;FALSE;Көтеру лентасын жаңасына ауыстыру бойынша сұраныс берілді;TRUE;TRUE;Механикке сұраныс берілді;TRUE;;;
Предложение (инициатива);Ирисов Тюльпан Орхидеевич;Электрооборудование, Наряд-допуск / Оценка риска, Целостность объекта / Оборудования;7/26/25 5:00;7/26/25 20:29;"ТОО ""Пудровая Роза""";Не оставлять без присмотра электроприборы. ;Доложил начальнику участка;TRUE;Доложил начальнику участка;TRUE;TRUE;Доложил начальнику участка;TRUE;;;
Небезопасное условие ;Лавандов Магнолий Лилиевич;СИЗ / Средства по обеспечению безопасности;7/5/25 5:00;7/5/25 19:50;"ТОО ""Золотой Подсолнух""";Работник при допуске бригады для выполнения наладочных работ, неправильно использовал блокирующее устройства LOTO. Не зафиксировал отключенное положение автоматического выключателя 0,22кВ (Опер.тока). ;Показал как правильно использовать блокирующие устройства LOTO для изоляции источников энергий.;FALSE;В пред не совершать  неправильно использовать блокирующие устройства LOTO для изоляции источников энергий. А также изучить как правильно использовать блокирующие устройства LOTO.;TRUE;TRUE;Инженеру БиОТ ;TRUE;;;
Небезопасное действие;Розанов Лотос Гортензиевич;Знаки безопасности / Предупредительные таблички, Вывешивание плакатов;7/5/25 5:00;7/5/25 22:10;"ТОО ""Кристальный Ирис""";На надземные временные кабельные линий 0,4 кв не вывешены предупредительные таблички безопасности.;Вел разяснительную беседу с дежурным электриком. Предупредил мастера КРС о необходимости и важности знаков и плакатов безопасности.;FALSE;Нет данных;TRUE;TRUE;"Мастеру КРС ТОО Жанросс drilling 
Асанову Т.";TRUE;;;
Хорошая практика;Георгинов Георгин Гортензиевич;Наряд-допуск / Оценка риска;11/4/25 5:00;11/5/25 2:27;"ТОО ""Лепесток Удачи""";Провёл наблюдение;нет;FALSE;нет;FALSE;FALSE;Опасного случая не было ;FALSE;;;
Небезопасное условие ;Маргаритов Флорен Тюльпанович;Машины и оборудование, Проскальзывание / Спотыкание / Падение;8/9/25 5:00;8/11/25 15:47;"ТОО ""Рассветная Лаванда""";№7 сораптың шығыс тоспасының жұмыс алаңшасы жарамсыз;Қызмет көрсету алаңшасын талапқа сай қалпына келтірілді;FALSE;Құлау қауіпі бар;TRUE;TRUE;Цех бастығы;TRUE;;;
Небезопасное условие ;Тюльпанов Магнолий Виолетович;Электрооборудование;7/25/25 5:00;7/25/25 15:59;"ТОО ""Цветущий Олеандр""";Неисправный выключатель;Поставила в известность начальника цеха;TRUE;Сообщила начальник;TRUE;TRUE;Начальнику цеха;TRUE;;;
Небезопасное действие;Магнолиев Флорен Фиалкович;Машины и оборудование;7/5/25 5:00;7/5/25 21:45;"ТОО ""Весенний Букет""";4 КПП да кызмет аткару кезинде аныкталды.Автоколиктин фарын жакпай келген;Ескерту жасалды;FALSE;Жаксы тажирбие автоколик жургизушиси фарын жакпай келген;TRUE;TRUE;Супервайзерге;TRUE;IMG-20250703-WA0021.jpg,b55c152d91984bf093c8a4cd337df2e0;;
Небезопасное действие;Ирисов Нарцисс Лавандович;Вождение;7/5/25 5:00;7/5/25 22:45;"ТОО ""Флора Капитал""";4 КПП да турып аныкталды автоколиктин жургизушиси кауипсиздик ремень такпаган;Ауызша ескерту жасалды;FALSE;Жаксы тажирбие автоколик жургизушисине кауипсиздик ремень тагу туралы ескертилди;TRUE;TRUE;Супервайзерге;TRUE;IMG-20250703-WA0022.jpg,cf53f204cbeb4fd2a3f78765812ea670;;
Опасный случай;Лавандов Лаврентий Тюльпанович;Целостность объекта / Оборудования;7/5/25 5:00;7/6/25 2:48;"ТОО ""Бархатный Тюльпан""";Провод от освещения здания оборвана который от ветра бьёт по стеклу здания.;Сообщено ОД ЦУБ, диспетчеру ТОО МСК доложено руководству СПО.;FALSE;Персонал охраны предупреждает прохожих.;TRUE;TRUE;Сообщено ОД ЦУБ, диспетчеру ТОО МСК доложено руководству СПО.;FALSE;;;
Предложение (инициатива);Георгинов Лотос Хризантемович;Рабочее место / Эргономика;7/6/25 5:00;7/6/25 11:32;"ТОО ""Алый Тюльпан""";Замечаний нет.Условия по ТБ соблюдается.;Доложил руководству.;FALSE;Поблагодарил работников.;TRUE;TRUE;Руководству.;TRUE;;;
Предложение (инициатива);Азалиев Камелий Тюльпанович;Рабочее место / Эргономика;7/6/25 5:00;7/6/25 11:36;"ТОО ""Белая Роза""";Замечаний нет.Условия по ТБ соблюдается.;Доложил руководству.;FALSE;Поблагодарил работников ;TRUE;TRUE;Руководству.;TRUE;;;
Небезопасное действие;Пионов Маргарит Лавандович;Вождение;7/6/25 5:00;7/6/25 11:40;"ТОО ""Золотая Лилия""";4 КПП да турып аныкталды автоколик жургизушиси кауипсиздик ремень такпаган;Ескерту жасалды;FALSE;Жаксы тажирбие;TRUE;TRUE;Супервайзерге;TRUE;IMG-20250703-WA0027.jpg,3e95c50866fc4abb83be87f3e2fe1f89;;
Опасный случай;Жасминов Хризантем Мелиссович;Целостность объекта / Оборудования;7/6/25 5:00;7/6/25 14:39;"ТОО ""Лавандовый Рассвет""";Электропровод от освещения здания оборвалась, его кочает ветром и бьёт об стекло здания ;Сообщили ОД ЦУБ, диспетчеру ТОО МСК, доложено руководству СПО.;FALSE;Охранник предупреждает прохожих возле опасного место ;TRUE;TRUE;Сообщили ОД ЦУБ, диспетчеру ТОО МСК, доложено руководству СПО.;FALSE;IMG_20250705_204644.jpg,9bc3add7c86a477498f1e945f1eb6425;;
Небезопасное поведение;Фиалков Лилий Нарциссович;Взрыво- и пожароопасность;7/15/25 5:00;7/25/25 14:35;"ТОО ""Синяя Орхидея""";Эл. монтёр подрядной организаций ТОО KazMunaiServis&Consalting использовал открытый огонь в курилке, тем самым нарушив правил пожарной безопасности;Проведено разъяснительная беседа, было взято объяснительная записка.;FALSE;Проведено разъяснительная беседа, было взято объяснительная записка.;TRUE;TRUE;Сообщили непосредственному руководителю, инженеру по БиОТ;TRUE;Xerox Scan_25072025103540.pdf,78103ce2e5d24c5da0250907e9799e7a;;
Опасный фактор;Магнолиев Лаврентий Лотосович;Целостность объекта / Оборудования, Проскальзывание / Спотыкание / Падение;7/23/25 5:00;7/25/25 20:15;"ТОО ""Пурпурный Ирис""";№1113 жоғары қоршауы сынған, адам үстіне құлау қауіпі;Нет данных;FALSE;Дәнекерлеу бригадасы шықырылып, тербелмелі қондырғы жұмыс алңашасы ретке келтірілді.;TRUE;TRUE;Цех бастығына;FALSE;;;
Небезопасное условие ;Пионов Маргарит Лотосович;Электрооборудование;7/7/25 5:00;7/7/25 19:36;"ТОО ""Нежная Фиалка""";Кондиционер работает без защитной сеткой;Выключили;TRUE;Провели разъяснение;TRUE;TRUE;Начальнику УЖЭО Утегалиеву Бекжану;TRUE;Кондиционер.jpg,92e87d31183a44059fb15938e83751f7;;
Небезопасное условие ;Георгинов Орхидей Магнолиевич;Опасные вещества/сероводород;7/25/25 5:00;7/25/25 16:00;"ТОО ""Солнечный Подсолнух""";Неправильное хранение легковоспламеняющихся веществ;Поставила в известность начальника цеха;FALSE;Сообщила начальнику;TRUE;TRUE;Начальнику;TRUE;;;
Хорошая практика;Лавандов Камелий Вербенович;Трубопроводы / Подземные коммуникации;7/7/25 5:00;7/8/25 0:58;"ТОО ""Весенний Пион""";Провел наблюдение прежложение нет. ;Нет данных;FALSE;Нет данных;FALSE;FALSE;Опасного случай не было;FALSE;;;
Хорошая практика;Азалиев Фиал Камелиевич;Вождение;7/7/25 5:00;7/8/25 3:17;"ТОО ""Горная Эдельвейс""";Провел наблюдение предложение нет.;Нет;FALSE;Предложение нет;FALSE;FALSE;Опасного случай не было.;FALSE;;;
Хорошая практика;Азалиев Астрон Виолетович;Наряд-допуск / Оценка риска;7/7/25 5:00;7/8/25 3:47;"ТОО ""Дикая Ромашка""";Провел наблюдения,предложении нет;Нет;FALSE;Предложении нет;FALSE;FALSE;Опасные случаи не было;FALSE;;;
Хорошая практика;Георгинов Лотос Вербенович;Наряд-допуск / Оценка риска;7/7/25 5:00;7/8/25 4:32;"ТОО ""Серебряный Лотос""";Провел набледение предложение нет;Нет;FALSE;Предложение нет. ;FALSE;FALSE;Опасного случай не было. ;FALSE;;;
Опасный случай;Сакуров Маргарит Камелиевич;Взрыво- и пожароопасность;7/21/25 5:00;7/25/25 15:06;"ТОО ""Ясный Василёк""";Старший оператор С-100 ЛК-6У Лоренцев Д.В. использовал мобильный телефон не взрывозащищенного исполнения на территории завода;проведено разъяснительная беседа, было взята объяснительное письмо;FALSE;проведено разъяснительная беседа, было взята объяснительное письмо;TRUE;TRUE;Начальнику Цеха№1, начальнику секции С-100;TRUE;Xerox Scan_25072025103611.pdf,9dc67567c49c4a48941ba562c9b3daf4;;
Небезопасное поведение;Сакуров Георгин Нарциссович;Работы на высоте / Строительные леса;7/14/25 5:00;7/25/25 21:30;"ТОО ""Алая Гвоздика""";Ағымдағы жер асты жөндеу жұмыстарынан кейін тербелмелі қондырғы балансир басын қалпына келтіру уақытында оператор арнйы техника пайдаланбады;Ауызша ескерту жасалды, түсіндіру жұмыстары жүргізілді.;FALSE;Нет данных;TRUE;TRUE;Цех бастығына;TRUE;;;
Хорошая практика;Гортензиев Розан Камелиевич;Трубопроводы / Подземные коммуникации;7/8/25 5:00;7/8/25 11:54;"ТОО ""Сакура Плюс""";Провел наблюдения предложения нет;Нет;FALSE;Предложение нет;FALSE;FALSE;Опасного случай не было;FALSE;;;
Хорошая практика;Гортензиев Лаврентий Флорович;Наряд-допуск / Оценка риска;7/8/25 5:00;7/8/25 12:48;"ТОО ""Южная Магнолия""";Провел наблюдение предложение нет;Нет;FALSE;Предложение нет;FALSE;FALSE;Опасный случай не было ;FALSE;;;
Хорошая практика;Лавандов Розан Нарциссович;Вывешивание плакатов, Взрыво- и пожароопасность, Сварка / Шлифовка / Отжиг, Транспортировка, Работы в замкнутом пространстве, Проскальзывание / Спотыкание / Падение, Знаки безопасности / Предупредительные таблички, Работы на высоте / Строительные леса, Земляные работы, Целостность объекта / Оборудования, СИЗ / Средства по обеспечению безопасности, Аварийное реагирование / Готовность к ЧС, Трубопроводы / Подземные коммуникации, Переносное оборудование / Ручные инструменты, Падающие предметы, Испытание под давлением, Санитарно-бытовые помещения, Поддержание чистоты и порядка, Рабочее место / Эргономика, Ионизирующее излучение, Монтажные и грузоподъемные работы, Перемещение грузов вручную, Опасные природные явления / Погодные условия, Охрана окружающей среды, Вождение, Выполнение требований инструкций, Электрооборудование, Машины и оборудование, Наряд-допуск / Оценка риска, Опасные вещества/сероводород;7/8/25 5:00;7/8/25 15:34;"ТОО ""Таёжный Жасмин""";Да;Нет данных;TRUE;Нет данных;TRUE;TRUE;Нет данных;TRUE;;;
Хорошая практика;Магнолиев Гортензий Лилиевич;Транспортировка;7/8/25 5:00;7/8/25 15:51;"ТОО ""Полевая Незабудка""";На 1387 км. Обнаружена стоящая  спец авто с прицепом работа по перегрузке имушества. Прицеп с буксирным устройством( фаркоп) не зафиксировано специальным шплинтом.;Предупредил водителя и старшего, что необходимо зашплинтовать буксирное устройства фаркоп.;FALSE;Сообщил о факте начальнику участка и начальнику ГНПС «Шолаккорган» Ердебекову Ж.А.;TRUE;TRUE;Предупредил водителя и информировал дежурного диспетчера участка.;TRUE;;;
Хорошая практика;Сакуров Тюльпан Георгинович;Наряд-допуск / Оценка риска;7/8/25 5:00;7/8/25 16:04;"ТОО ""Янтарная Хризантема""";Провел наведение предложение нет;Нет;FALSE;Нет данных;FALSE;FALSE;Начальнику участка;FALSE;;;
Хорошая практика;Хризантемов Виолан Лотосович;Транспортировка;7/8/25 5:00;7/8/25 15:51;"ТОО ""Тихая Камелия""";На 1387 км. Обнаружена стоящая  спец авто с прицепом работа по перегрузке имушества. Прицеп с буксирным устройством( фаркоп) не зафиксировано специальным шплинтом.;Предупредил водителя и старшего, что необходимо зашплинтовать буксирное устройства фаркоп.;FALSE;Сообщил о факте начальнику участка и начальнику ГНПС «Шолаккорган» Ердебекову Ж.А.;TRUE;TRUE;Предупредил водителя и информировал дежурного диспетчера участка.;TRUE;;;
Хорошая практика;Виолетов Вербен Лилиевич;Целостность объекта / Оборудования, Наряд-допуск / Оценка риска;7/8/25 5:00;7/8/25 17:06;"ТОО ""Ночная Лаванда""";Провел наблюдение.  Предложении нет;Доложил начальнику участка;FALSE;Доложил начальнику участка;TRUE;TRUE;Доложил начальнику участка;TRUE;;;
Хорошая практика;Гортензиев Камелий Мелиссович;Целостность объекта / Оборудования;7/8/25 5:00;7/8/25 17:18;"ТОО ""Лесной Ландыш""";Провел наблюдение. Предложении нет;Доложил начальнику участка;FALSE;Доложил начальнику участка;TRUE;TRUE;Доложил начальнику участка;TRUE;;;
Небезопасное условие ;Ирисов Пион Георгинович;Вождение;8/11/25 5:00;8/11/25 14:45;"ТОО ""Звёздный Амариллис""";МСАААЦ-2 аумағында жұмыс жасаған автокран №819 көлігі цех аумағында жүру жылдамдығын асырды;Жүргізіші мен түсіндірме жұмыс жүргізілді;FALSE;Жол апатын алдын алу бойынша;TRUE;TRUE;Цех бастығы;TRUE;;;
Хорошая практика;Лотосов Астрон Георгинович;Поддержание чистоты и порядка;7/25/25 5:00;7/25/25 15:59;"ТОО ""Каспийский Тюльпан""";Скопление мусора и отходов на рабочем месте.;Поставил в известность начальника цеха МО.;TRUE;Работник самостоятельно убрал мусор;TRUE;TRUE;начальнику;TRUE;;;
Небезопасное действие;Камелиев Астрон Лотосович;Знаки безопасности / Предупредительные таблички;7/13/25 5:00;7/25/25 20:35;"ТОО ""Степная Роза""";"тқ айналасында орналасқан мұнай сорғысына тығырық соғу кезінде, ""қоспаңыз, адамдар жұмыс жасауда"" тақтайшасы ілінбеген";Түсіндірме жұмыстар жүргізілді;FALSE;Нет данных;TRUE;TRUE;Цех бастығына;TRUE;;;
Опасный случай;Флоров Сакур Астрович;Взрыво- и пожароопасность;7/19/25 5:00;7/25/25 21:31;"ТОО ""Голубая Гортензия""";№7603 ұңғысын тұншықтыру уақытында, кері клапан жасамайтыны белгілі болды;Нет данных;FALSE;Түсіндірме жұмыс жүргізілді;TRUE;TRUE;Цех бастығына;TRUE;;;
Опасный фактор;Жасминов Пион Магнолиевич;Охрана окружающей среды;7/24/25 5:00;7/25/25 21:10;"ТОО ""Рубиновый Мак""";Ұңғымадан сынама алу кезінде сынама алу тұтқасы сыну қауіпінде;Нет данных;FALSE;Дәнекерлеу бригадасы шақырылды, ;TRUE;TRUE;ТҚ шебері;TRUE;;;
Опасный случай;Вербенов Гортензий Астрович;Целостность объекта / Оборудования;7/21/25 5:00;7/25/25 21:25;"ТОО ""Северный Нарцисс""";№8058 ұңғысының тербелмелі қондырғысын тоқтату уақытында, тежегіші ұстамайды.;Тежегешін қалпына келтіру жұмыстары жүргізілді;FALSE;Нет данных;TRUE;TRUE;ТҚ шеберіне;TRUE;;;
Хорошая практика;Мелиссов Виолан Лотосович;Целостность объекта / Оборудования, Машины и оборудование, СИЗ / Средства по обеспечению безопасности, Поддержание чистоты и порядка, Охрана окружающей среды;3/5/25 5:00;7/8/25 21:15;"ТОО ""Имперская Орхидея""";"АГЗУ-20 ПСМ гидроприводтын корпусынан май кетіп тұр
";"Сообщил мастеру ,устранили неполадку
";TRUE;Сообщил мастеру ,устранили неполадку;TRUE;TRUE;Сообщил мастеру ,устранили неполадку;TRUE;;;
Хорошая практика;Тюльпанов Тюльпан Розанович;Наряд-допуск / Оценка риска;7/9/25 5:00;7/9/25 14:40;"ТОО ""Весенний Крокус""";Провел наблюдение. Предложении нет;Доложил начальнику участка;FALSE;Доложил начальнику участка;TRUE;TRUE;Доложил начальнику участка;TRUE;;;
Небезопасное условие ;Гортензиев Азалий Маргаритович;Поддержание чистоты и порядка;7/9/25 5:00;7/9/25 14:10;"ТОО ""Изумрудный Папоротник""";МӨЦ-2. База аумағында әртүрлі заттар шашылып жатыр ( коробка, ағаш т,б. заттар). ;Аға-механикке тапсырыс берілді;FALSE;Нет данных;TRUE;TRUE;Аға-механикке;TRUE;;;
Небезопасное действие;Флоров Магнолий Магнолиевич;Транспортировка;7/9/25 5:00;7/9/25 15:56;"ТОО ""Белоснежная Азалия""";На 1225 км. Обнаружена выполнение работ по демонтажу оборудования. Не обеспечено дополнительной строповки тросом.;Предупредил старшего и водителя о необходимости дополнительного крепления. доложил рукодовству участка.;TRUE;Рекомендовал закрепить груз дополнительным тросом. Сообщил начальнику участка и начальнику смены Абдикаюмову М. Д.;TRUE;TRUE;Информацию по данному факту сообщил дежурному диспетчеру участка.;FALSE;;;
Небезопасное действие;Гортензиев Лотос Пионович;Транспортировка, Вождение;7/2/25 5:00;7/9/25 14:15;"ТОО ""Алтын Бәйшешек""";Сотрудник подрядной организации припарковал служебное авто на пешеходном переходе и занимался выгрузкой материалов. ;Проведена разъяснительная беседа;FALSE;Проведена разъяснительная беседа;TRUE;TRUE;Инженеру БиОТ подрядной организации;TRUE;Справка №13.pdf,6a225a2c891c4eec8075477c0f03489b;;
